prov,citta,ente,centralina,centralina2,zona,tipo,UTME,UTMN,UTMZONE,lat,lng
BA,Altamura,Provincia di BARI,Altamura,,Suburbana,Traffico,631558,4520820,33,40.8253487,16.5447983
BA,Molfetta,RRQA,ASM,ASM,Suburbana,Fondo,630969,4562731,33,41.1983539,16.5982243
BA,Bari,RRQA,Caldarola,,Urbana,Traffico,658520,4553079,33,41.1072436,16.8973116
BA,Bari,Comune di BARI,Carbonara,Carbonara,Suburbana,Traffico,,,33,41.0741635,16.8675493
BA,Casamassima,Provincia di BARI,Casamassima,,Suburbana,Fondo,661589,4535223,33,40.9563751,16.9214699
BA,Bari,Comune di BARI,CAVOUR,CAVOUR,Urbana,Traffico,657197,4554020,33,41.1215689,16.8724812
BA,Bari,Comune di BARI,CUS,CUS,Suburbana,Traffico,654878,4555354,33,41.136724,16.845783
BA,Modugno,RRQA,ENAIP,ENAIP,Suburbana,Industriale,648497,4552500,33,41.0944372,16.780525
BA,Bari,Comune di BARI,Japigia,Japigia,Suburbana,Traffico,657821,4551943,33,41.116413,16.889954
BA,Bari,Comune di BARI,Kennedy,,Suburbana,Fondo,656105,4551478,33,41.119702,16.865338
BA,Monopoli,Provincia di BARI,Monopoli,,Suburbana,Traffico,692701,4535752,33,40.9500755,17.2980943
BA,Monopoli,Provincia di BARI,Monopoli ItalGreen,Monopoli ItalGreen,Suburbana,Traffico,692229,4537004,33,40.95114,17.287912
BA,Bari,Comune di BARI,Politecnico,,Suburbana,Traffico,656634,4551531,33,41.1090147,16.8786627
BA,Bari,Comune di BARI,Stanic,,Urbana,Traffico,656212,4552323,33,41.128046,16.798926
BA,Molfetta,RRQA,Verdi,P.zza Verdi,Urbana,Traffico,634595,4562323,33,41.2001567,16.605415
BR,Brindisi,ARPA,Casale,Brindisi – Casale,Urbana,Fondo,748879,4504259,33,40.661646,17.9397792
BR,Ceglie Messapica,ENEL,Ceglie Messapica,,Suburbana,Fondo,712432,4502847,33,40.6474046,17.5143376
BR,Brindisi,Provincia di BRINDISI,IT Nautico Carnaro,,Urbana,Traffico,747611,4503443,33,40.64841,17.939184
BR,Torchiarolo,ENEL,Lendinuso,Lendinuso,Rurale,Industriale,760838,4489753,33,40.4829381,18.0515271
BR,Mesagne,RRQA,Mesagne,,Suburbana,Fondo,737714,4494370,33,40.5577883,17.8054194
BR,Brindisi,ENIPOWER,Perrino,Brindisi – Perrino,Urbana,Fondo,749892,4502036,33,40.63824,17.94578
BR,San Pancrazio Salentino,RRQA,San Pancrazio Salentino,,Suburbana,Fondo,741444,4478597,33,40.4177814,17.8319421
BR,San Pietro Vernotico,RRQA,San Pietro Vernotico,San Pietro Vernotico,Suburbana,Industriale,754781,4486042,33,40.4898487,17.9988286
BR,San Vito dei Normanni,Provincia di BRINDISI,San Vito dei Normanni,,Fondo,Traffico,729316,4504244,33,40.65659,17.7084174
BR,Brindisi,ARPA,SISRI,Brindisi – SISRI,Suburbana,Industriale,751700,4501449,33,40.631943,17.952039
BR,Brindisi,ENEL/EDIPOWER,Terminal Passeggeri,Brindisi - Terminal Passeggeri,Suburbana,Industriale,750422,4503838,33,40.63957,17.947935
BR,Torchiarolo,RRQA,Torchiarolo,Torchiarolo-Don Minzoni,Suburbana,Industriale,758842,4486404,33,40.4829381,18.0515271
BR,Torchiarolo,ENEL,Torchiarolo-Via Fanin,Torchiarolo-Via Fanin SN,Suburbana,Industriale,758263,4486545,33,40.488037,18.0538096
BR,San Pietro Vernotico,Provincia di BRINDISI,Valzani,S. Pietro Vernotico - Valzani,Suburbana,Fondo,754296,4485359,33,40.48096,18.00084
BR,Mesagne,RRQA,Via Antonucci,Mesagne-Via Antonucci,,,,,33,40.5511964,17.8132887
